"","aka","date","page_number","partof_title"
"389","http://www.loc.gov/resource/sn84024741/1773-08-12/ed-1/?sp=1","1773-08-12",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"390","http://www.loc.gov/resource/sn84024739/1769-05-04/ed-1/?sp=1","1769-05-04",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"391","http://www.loc.gov/resource/sn84024741/1769-07-27/ed-1/?sp=2","1769-07-27",2,"the virginia gazette (williamsburg, va.) 1766-1776"
"392","http://www.loc.gov/resource/sn84024741/1773-08-05/ed-1/?sp=1","1773-08-05",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"393","http://www.loc.gov/resource/sn83021194/1773-09-09/ed-1/?sp=1","1773-09-09",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"394","http://www.loc.gov/resource/sn83021194/1773-02-25/ed-1/?sp=4","1773-02-25",4,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"395","http://www.loc.gov/resource/sn83021193/1772-09-17/ed-1/?sp=1","1772-09-17",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"396","http://www.loc.gov/resource/sn83021194/1773-08-19/ed-1/?sp=1","1773-08-19",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"397","http://www.loc.gov/resource/sn83021194/1773-09-02/ed-1/?sp=1","1773-09-02",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"398","http://www.loc.gov/resource/sn83021194/1773-07-29/ed-1/?sp=1","1773-07-29",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"399","http://www.loc.gov/resource/sn83021193/1771-12-19/ed-1/?sp=1","1771-12-19",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"400","http://www.loc.gov/resource/sn83021193/1772-01-02/ed-1/?sp=1","1772-01-02",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"401","http://www.loc.gov/resource/sn83021193/1772-01-23/ed-1/?sp=1","1772-01-23",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"402","http://www.loc.gov/resource/sn83021193/1772-03-26/ed-1/?sp=1","1772-03-26",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"403","http://www.loc.gov/resource/sn83021193/1772-03-19/ed-1/?sp=1","1772-03-19",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"404","http://www.loc.gov/resource/sn83021193/1771-05-16/ed-1/?sp=4","1771-05-16",4,"the massachusetts spy (boston [mass.]) 1770-1772"
"405","http://www.loc.gov/resource/sn83021193/1771-05-23/ed-1/?sp=1","1771-05-23",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"406","http://www.loc.gov/resource/sn83021193/1771-09-12/ed-1/?sp=3","1771-09-12",3,"the massachusetts spy (boston [mass.]) 1770-1772"
"407","http://www.loc.gov/resource/sn83021193/1771-08-08/ed-1/?sp=4","1771-08-08",4,"the massachusetts spy (boston [mass.]) 1770-1772"
"408","http://www.loc.gov/resource/sn83021193/1771-10-03/ed-1/?sp=1","1771-10-03",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"409","http://www.loc.gov/resource/sn83021194/1774-01-20/ed-1/?sp=1","1774-01-20",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"410","http://www.loc.gov/resource/sn83021193/1772-05-14/ed-1/?sp=1","1772-05-14",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"411","http://www.loc.gov/resource/sn83021193/1771-08-22/ed-1/?sp=3","1771-08-22",3,"the massachusetts spy (boston [mass.]) 1770-1772"
"412","http://www.loc.gov/resource/sn83021193/1771-07-11/ed-1/?sp=3","1771-07-11",3,"the massachusetts spy (boston [mass.]) 1770-1772"
"413","http://www.loc.gov/resource/sn83025582/1770-01-19/ed-1/?sp=3","1770-01-19",3,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"414","http://www.loc.gov/resource/sn83025585/1782-06-15/ed-1/?sp=3","1782-06-15",3,"the new-hampshire gazette and general advertiser (portsmouth [n.h.]) 1781-1784"
"415","http://www.loc.gov/resource/sn83025582/1775-07-25/ed-1/?sp=2","1775-07-25",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"416","http://www.loc.gov/resource/sn83025582/1771-05-10/ed-1/?sp=1","1771-05-10",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"417","http://www.loc.gov/resource/sn83025582/1774-05-20/ed-1/?sp=1","1774-05-20",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"418","http://www.loc.gov/resource/sn83025582/1771-07-12/ed-1/?sp=3","1771-07-12",3,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"419","http://www.loc.gov/resource/sn83025582/1771-03-08/ed-1/?sp=3","1771-03-08",3,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"420","http://www.loc.gov/resource/sn83025582/1769-08-25/ed-1/?sp=1","1769-08-25",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"421","http://www.loc.gov/resource/sn83025582/1771-09-13/ed-1/?sp=2","1771-09-13",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"422","http://www.loc.gov/resource/sn83025582/1771-03-01/ed-1/?sp=2","1771-03-01",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"423","http://www.loc.gov/resource/sn83025582/1774-07-01/ed-1/?sp=1","1774-07-01",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
